MAPNAME SCORE RUNTIME EXITCODE SOLUTION
                  contest1.map    210   0 0 'DLLDLDRRRLULLDL'
                 contest10.map    785  10 0 'UUUUUUUULLUULLLUUUUULLLLLULLLLLLLLLLLLLULUUUDDDDDLLDDDRDDLDDDDRRRRRLLDDDRRRRRRRDDDRRUUURRULLUULLUUUUUUUUUULUUULLLLLLUURRRRRRRRDRRRRRRRRRDRDDDDDDDDDDDLDDLLLLLLLLLLDDLLLLLLRDDDRRRRRDRRRRRRRRRRRUUDDLLUUUUUUUULLLLLLUULUUUUUULLLUULLLLLURRRURRURRDRRRRRRRRRDRRRRDDDDDLLLDDDDDLLLLLLRRRRRRRRUUURRDULLDDDLLULDDDDDRULUUUUUUULLLULUUURRRUDLLLDDDDDRRDDRRRRRUURRDRLULLDDLLUULLLLLLDDRDRDDRRDDRRRRRDRDDLLLLU'
                  contest2.map     68   0 0 'UUURRRR'
                  contest3.map    273   0 0 'RRDDDRDDLLLDLLURRRUULLRRRRR'
                  contest4.map    561   0 0 'DRRRRRUUULDRDDLLLUULLRDDDDRDRRRLUUURUUR'
                  contest5.map   1275   0 0 'LLUUUUUUURRDDDDLUUUURRRRDDRRDDLDLLDDUURRURRDDDLLRRUUUUULLLLLUURRRDDDDDLLDDD'
                  contest6.map   1115  10 0 'RUURRRRRRRRRUUURRDDDDDLLLLLLLLLRRRRRRRRRUUUUULLDDDLLLLLLLLLLRRRRRRRRRRUUULLLLLLLDLLLUUUUDDDDRRRURRRRRRRRUURUUULULLULLLLLLDDRRRDULLLUULLDDLDUUUDDDDDDDDRRRRRRURRD'
                  contest7.map    863   0 0 'RDRRLDDDLDLLRRURURRDRDRRRLULULULUDDDL'
                  contest8.map    115   2 0 'UULLDLLLLL'
                  contest9.map    710   2 0 'RRRRRRRUUURRRURWLUUUULLULLLLLRUURRRUURRRRDDDDLLLLLLDLRUURRRURRRUUUDDDDDDDDLDDDRRLDDDRRRRRRUURRRRLLLLLRRRRRRDDLLLLUR'
                    flood1.map    936   2 0 'LLLLDDDRRRDRRDLLUUURRRLLWLLLRRRRRRRDDDD'
                    flood2.map     68   0 0 'UUURRRR'
                    flood3.map   1275   0 0 'LLUUUUUUURRDDDDLUUUURRRRDDRRDDLDLLDDUURRURRDDDLLRRUUUUULLLLLUURRRDDDDDLLDDD'
                    flood4.map    308  51 0 'UUUUUUULLLLLLLLDRDDDDDRRDDDDDRRRRUUUUUUUUUUUURRRRRRRDDDDDDDDDDDDLLLLLLUUUUUUUULLLLULLLLLLDDDDRRRRRDDDDDDDRRRRRRRRUUUUUUUUULLLLLLRDDDDDDDRRRRRRRRRRRRUURRRRRRRURRLLLLUUULLLDRRRDDLLDDDLLRRRRRRRRU'
                    flood5.map    561   0 0 'DRRRRRUUULDRDDLLLUULLRDDDDRDRRRLUUURUUR'
                     huge1.map -99999  40 1 ''
                     huge2.map   -150   0 0 'DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDR'
                   puzzle1.map    312   0 0 'DDLWRLWWWWWWWRUUUUUUUUUUUUUURRDDDDDDDDDDDDDDRLUUUUUUUUUUUUUULLL'
                   puzzle2.map    236   0 0 'RRRLURUUUUUUUL'
                   puzzle3.map    341  21 0 'RRRRUULRDDDRRURRDDDRRURUUULULLUDLLLLDDLLLLLLRUURRRRULLLLDDDDDLUURUUULDRDDDDDRRRRRRRR'
                   puzzle4.map    238  47 0 'RLLUUUURRUWDRRRRUUULUUUUULLLLLDRDRDRDRDRRDDDDDDDDDDDLLDDLLDDLL'
